"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat","n_counts","n_counts_w_SE"
199,-1.30543547999592,-2.82155164648832,-1.93600652210743,-1.16672054704882,TRUE,1.05062299836532,37,25
200,-0.724356436274221,-1.85894003172278,-0.393976137523017,0.811805597957506,TRUE,1.10737764628108,38,25
201,0.0931417130551004,-1.00404760167356,0.0890843109209949,1.04923525237797,TRUE,1.02500273093267,40,26
202,4.02317445246125,2.70015408457456,4.07709948710179,5.6177048561822,TRUE,1.20176006756127,35,23
203,-0.437125742903299,-2.53439678404053,-1.47725488893735,-0.384421203343684,TRUE,1.02722087929055,34,23
204,1.6009016234048,-0.436975686893504,0.627121914317186,1.77291844477587,TRUE,1.03766929484899,37,25
205,1.418790410464,-0.686503251813095,1.70148734698898,3.03047793496408,TRUE,1.85338753867118,34,23
206,0.745665581198551,-0.10972254127964,1.0542319531106,2.11555154114957,TRUE,1.05333778669948,33,22
207,2.59272481397692,0.0511693853028444,1.48962064429066,3.00252348869373,TRUE,1.05043828086182,39,26
208,3.12079946844275,1.26495695811572,2.68376553300326,3.71771113196512,TRUE,1.04110347885559,42,28
209,0.50485637404114,-0.870182560939654,0.0590162277216644,0.952580018606316,TRUE,1.07768317349276,35,23
210,-0.225070122287296,-1.2091289890604,-0.24658988851472,0.731798062201279,TRUE,1.0375109117364,34,23
211,-1.00810577336951,-3.07659299038589,-1.61586247380188,-0.321562101944226,TRUE,1.04131615731183,37,25
212,2.31954853049652,0.685174522700954,2.49914049878805,4.15387394182487,TRUE,1.04582044580278,33,22
213,-0.977934689605775,-3.09452161162984,-1.67800131420248,-0.637340476339092,TRUE,1.03072361100949,35,23
214,0.20592394915846,-0.302091699909803,0.611070520636869,1.50663300022281,TRUE,1.06297519713313,31,21
215,0.118706266407509,-0.0192347809310117,1.5989885255286,4.37086286454909,TRUE,1.13797320219231,34,23
216,-0.0683195209878251,-2.58024453312058,-1.26887777779643,0.46254828009027,TRUE,1.26067789761402,35,23
217,4.35085415152083,3.61753984394544,5.30167748920463,7.27771844475898,TRUE,1.04899396312752,30,20
218,1.1048170301776,-1.39562223786013,-0.228540331809135,0.802989000046914,FALSE,1.02575160681679,37,25
219,0.884103508324352,-0.430894618128057,0.322686482113754,1.13689717004785,TRUE,1.03277566362714,38,25
220,2.14405197123184,0.728317773774488,2.09799271197623,3.66031692462037,TRUE,1.0783743938004,29,19
221,1.02296331626011,1.54338422632858,3.25367993931068,4.97324548456235,FALSE,1.04190778174281,41,27
